iyear,num_killed,num_attacks
1970,152,511
1971,140,386
1972,409,413
1973,353,398
1974,532,495
1975,603,655
1976,645,808
1977,424,1142
1978,917,1335
1979,1796,2211
1980,4130,2185
1981,4391,2175
1982,4780,2246
1983,9342,2581
1984,10325,3207
1985,7005,2662
1986,4887,2594
1987,6408,2881
1988,7032,3380
1989,7924,3837
1990,6961,3434
1991,8193,4135
1992,9358,4293
1993,0,0
1994,7282,2804
1995,5654,2668
1996,6367,2586
1997,10782,2737
1998,4459,755
1999,2755,1110
2000,3923,1392
2001,7274,1360
2002,3999,1022
2003,2669,996
2004,4942,1001
2005,6027,1798
2006,9175,2533
2007,12489,2958
2008,8420,4137
2009,8037,4222
2010,7082,4119
2011,7596,4344
2012,13645,7142
2013,19452,9677
2014,37693,13642
2015,30575,11200